Year,NOC,strong_point,hhi,award_rate,host,participate_num,history_performance,TotalMedal,GoldMedal
2028,AFG,1,0.0,0,USA,0,0.0,6,0.0
2028,AHO,1,0.0,0,USA,0,0.0,0,0.0
2028,AIN,3,0.0,0,USA,0,1.6666666666666667,32,1.6666666666666667
2028,ALB,1,0.0,0,USA,0,0.6666666666666666,8,0.6666666666666666
2028,ALG,3,0.0,0,USA,0,1.6666666666666667,46,1.6666666666666667
2028,AND,0,0.0,0,USA,0,0.0,2,0.0
2028,ANG,0,0.0,0,USA,0,0.0,25,0.0
2028,ANT,0,0.0,0,USA,0,0.0,5,0.0
2028,ANZ,3,0.0,0,USA,0,0.0,0,0.0
2028,ARG,3,0.0,0,USA,0,3.3333333333333335,143,3.3333333333333335
2028,ARM,3,0.0,0,USA,0,4.0,15,4.0
2028,ARU,0,0.0,0,USA,0,0.0,6,0.0
2028,ASA,0,0.0,0,USA,0,0.0,2,0.0
2028,AUS,2,0.0,0,USA,0,42.333333333333336,474,42.333333333333336
2028,AUT,1,0.0,0,USA,0,4.333333333333333,84,4.333333333333333
2028,AZE,3,0.0,0,USA,0,10.666666666666666,48,10.666666666666666
2028,BAH,2,0.0,0,USA,0,1.3333333333333333,19,1.3333333333333333
2028,BAN,0,0.0,0,USA,0,0.0,5,0.0
2028,BAR,1,0.0,0,USA,0,0.0,4,0.0
2028,BDI,1,0.0,0,USA,0,0.3333333333333333,7,0.3333333333333333
2028,BEL,2,0.0,0,USA,0,7.333333333333333,177,7.333333333333333
2028,BEN,0,0.0,0,USA,0,0.0,5,0.0
2028,BER,2,0.0,0,USA,0,0.3333333333333333,8,0.3333333333333333
2028,BHU,0,0.0,0,USA,0,0.0,3,0.0
2028,BIH,0,0.0,0,USA,0,0.0,5,0.0
2028,BIZ,0,0.0,0,USA,0,0.0,1,0.0
2028,BLR,3,0.0,0,USA,0,5.333333333333333,0,5.333333333333333
2028,BOH,3,0.0,0,USA,0,0.0,0,0.0
2028,BOL,0,0.0,0,USA,0,0.0,4,0.0
2028,BOT,1,0.0,0,USA,0,1.0,14,1.0
2028,BRA,3,0.0,0,USA,0,20.0,289,20.0
2028,BRN,3,0.0,0,USA,0,2.3333333333333335,14,2.3333333333333335
2028,BRU,0,0.0,0,USA,0,0.0,3,0.0
2028,BUL,3,0.0,0,USA,0,5.333333333333333,46,5.333333333333333
2028,BUR,1,0.0,0,USA,0,0.3333333333333333,8,0.3333333333333333
2028,CAF,0,0.0,0,USA,0,0.0,4,0.0
2028,CAM,0,0.0,0,USA,0,0.0,3,0.0
2028,CAN,3,0.0,0,USA,0,24.333333333333332,332,24.333333333333332
2028,CAY,0,0.0,0,USA,0,0.0,4,0.0
2028,CGO,0,0.0,0,USA,0,0.0,4,0.0
2028,CHA,0,0.0,0,USA,0,0.0,3,0.0
2028,CHI,3,0.0,0,USA,0,0.6666666666666666,48,0.6666666666666666
2028,CHN,3,0.0,0,USA,0,83.0,396,83.0
2028,CIV,2,0.0,0,USA,0,1.3333333333333333,13,1.3333333333333333
2028,CMR,3,0.0,0,USA,0,0.0,6,0.0
2028,COD,0,0.0,0,USA,0,0.0,6,0.0
2028,COK,0,0.0,0,USA,0,0.0,2,0.0
